Table: Year 1
+--------+------------+-----------------+-----------------+
| S. No. | Department | Register Number | Department code |
+--------+------------+-----------------+-----------------+
|   1    |    UIT     |    24UIT0001    |       UIT       |
|   2    |    UIT     |    24UIT0002    |       UIT       |
|   3    |    UIT     |    24UIT0003    |       UIT       |
|   4    |    UIT     |    24UIT0004    |       UIT       |
|   5    |    UIT     |    24UIT0005    |       UIT       |
|   6    |    UIT     |    24UIT0006    |       UIT       |
|   7    |    UIT     |    24UIT0007    |       UIT       |
|   8    |    UIT     |    24UIT0008    |       UIT       |
|   9    |    UIT     |    24UIT0009    |       UIT       |
|   10   |    UIT     |    24UIT0010    |       UIT       |
|   11   |    UIT     |    24UIT0011    |       UIT       |
|   12   |    UIT     |    24UIT0012    |       UIT       |
|   13   |    UIT     |    24UIT0013    |       UIT       |
|   14   |    UIT     |    24UIT0014    |       UIT       |
|   15   |    UIT     |    24UIT0015    |       UIT       |
|   16   |    UIT     |    24UIT0016    |       UIT       |
|   17   |    UIT     |    24UIT0017    |       UIT       |
|   18   |    UIT     |    24UIT0018    |       UIT       |
|   19   |    UIT     |    24UIT0019    |       UIT       |
|   20   |    UIT     |    24UIT0020    |       UIT       |
|   21   |    UIT     |    24UIT0021    |       UIT       |
|   22   |    UIT     |    24UIT0022    |       UIT       |
|   23   |    UIT     |    24UIT0023    |       UIT       |
|   24   |    UIT     |    24UIT0024    |       UIT       |
|   25   |    UIT     |    24UIT0025    |       UIT       |
|   26   |    UIT     |    24UIT0026    |       UIT       |
|   27   |    UIT     |    24UIT0027    |       UIT       |
|   28   |    UIT     |    24UIT0028    |       UIT       |
|   29   |    UIT     |    24UIT0029    |       UIT       |
|   30   |    UIT     |    24UIT0030    |       UIT       |
|   31   |    UIT     |    24UIT0031    |       UIT       |
|   32   |    UIT     |    24UIT0032    |       UIT       |
|   33   |    UIT     |    24UIT0033    |       UIT       |
|   34   |    UIT     |    24UIT0034    |       UIT       |
|   35   |    UIT     |    24UIT0035    |       UIT       |
|   36   |    UIT     |    24UIT0036    |       UIT       |
|   37   |    UIT     |    24UIT0037    |       UIT       |
|   38   |    UIT     |    24UIT0038    |       UIT       |
|   39   |    UIT     |    24UIT0039    |       UIT       |
|   40   |    UIT     |    24UIT0040    |       UIT       |
|   41   |    UIT     |    24UIT0041    |       UIT       |
|   42   |    UIT     |    24UIT0042    |       UIT       |
|   43   |    UIT     |    24UIT0043    |       UIT       |
|   44   |    UIT     |    24UIT0044    |       UIT       |
|   45   |    UIT     |    24UIT0045    |       UIT       |
